iso3,country,year,season
ASM,American Samoa,1992,Summer
ATG,Antigua and Barbuda,1992,Summer
AUS,Australia,1992,Summer
AUT,Austria,1992,Summer
BEL,Belgium,1992,Summer
BEN,Benin,1992,Summer
BFA,Burkina Faso,1992,Summer
BGD,Bangladesh,1992,Summer
BGR,Bulgaria,1992,Summer
BHR,Bahrain,1992,Summer
BHS,Bahamas,1992,Summer
BLZ,Belize,1992,Summer
BMU,Bermuda,1992,Summer
BOL,Bolivia,1992,Summer
BRA,Brazil,1992,Summer
BRB,Barbados,1992,Summer
BTN,Bhutan,1992,Summer
BWA,Botswana,1992,Summer
CAF,Central African Republic,1992,Summer
CAN,Canada,1992,Summer
CHE,Switzerland,1992,Summer
CHL,Chile,1992,Summer
CHN,China,1992,Summer
CIV,Ivory Coast,1992,Summer
CMR,Cameroon,1992,Summer
COD,DR Congo,1992,Summer
COG,Congo,1992,Summer
COK,Cook Islands,1992,Summer
COL,Colombia,1992,Summer
CRI,Costa Rica,1992,Summer
CUB,Cuba,1992,Summer
CYM,Cayman Islands,1992,Summer
CYP,Cyprus,1992,Summer
DJI,Djibouti,1992,Summer
DNK,Denmark,1992,Summer
DOM,Dominican Republic,1992,Summer
DZA,Algeria,1992,Summer
ECU,Ecuador,1992,Summer
EGY,Egypt,1992,Summer
ESP,Spain,1992,Summer
FIN,Finland,1992,Summer
FJI,Fiji,1992,Summer
FRA,France,1992,Summer
GAB,Gabon,1992,Summer
GBR,United Kingdom,1992,Summer
GHA,Ghana,1992,Summer
GIN,Guinea,1992,Summer
GMB,Gambia,1992,Summer
GNQ,Equatorial Guinea,1992,Summer
GRC,Greece,1992,Summer
GRD,Grenada,1992,Summer
GTM,Guatemala,1992,Summer
GUM,Guam,1992,Summer
GUY,Guyana,1992,Summer
HKG,Hong Kong,1992,Summer
HND,Honduras,1992,Summer
HTI,Haiti,1992,Summer
HUN,Hungary,1992,Summer
IDN,Indonesia,1992,Summer
IND,India,1992,Summer
IRL,Ireland,1992,Summer
IRN,Iran,1992,Summer
IRQ,Iraq,1992,Summer
ISL,Iceland,1992,Summer
ISR,Israel,1992,Summer
ITA,Italy,1992,Summer
JAM,Jamaica,1992,Summer
JOR,Jordan,1992,Summer
JPN,Japan,1992,Summer
KEN,Kenya,1992,Summer
KOR,South Korea,1992,Summer
KWT,Kuwait,1992,Summer
LAO,Laos,1992,Summer
LBN,Lebanon,1992,Summer
LBY,Libya,1992,Summer
LIE,Liechtenstein,1992,Summer
LKA,Sri Lanka,1992,Summer
LSO,Lesotho,1992,Summer
LUX,Luxembourg,1992,Summer
MAR,Morocco,1992,Summer
MCO,Monaco,1992,Summer
MDG,Madagascar,1992,Summer
MDV,Maldives,1992,Summer
MEX,Mexico,1992,Summer
MLI,Mali,1992,Summer
MLT,Malta,1992,Summer
MMR,Myanmar,1992,Summer
MNG,Mongolia,1992,Summer
MOZ,Mozambique,1992,Summer
MRT,Mauritania,1992,Summer
MUS,Mauritius,1992,Summer
MWI,Malawi,1992,Summer
MYS,Malaysia,1992,Summer
NAM,Namibia,1992,Summer
NER,Niger,1992,Summer
NGA,Nigeria,1992,Summer
NIC,Nicaragua,1992,Summer
NLD,Netherlands,1992,Summer
NOR,Norway,1992,Summer
NPL,Nepal,1992,Summer
NZL,New Zealand,1992,Summer
OMN,Oman,1992,Summer
PAK,Pakistan,1992,Summer
PAN,Panama,1992,Summer
PER,Peru,1992,Summer
PHL,Philippines,1992,Summer
PNG,Papua New Guinea,1992,Summer
POL,Poland,1992,Summer
PRI,Puerto Rico,1992,Summer
PRK,North Korea,1992,Summer
PRT,Portugal,1992,Summer
PRY,Paraguay,1992,Summer
QAT,Qatar,1992,Summer
ROU,Romania,1992,Summer
RWA,Rwanda,1992,Summer
SAU,Saudi Arabia,1992,Summer
SEN,Senegal,1992,Summer
SGP,Singapore,1992,Summer
SLB,Solomon Islands,1992,Summer
SLE,Sierra Leone,1992,Summer
SLV,El Salvador,1992,Summer
SMR,San Marino,1992,Summer
SUR,Suriname,1992,Summer
SWE,Sweden,1992,Summer
SWZ,Eswatini,1992,Summer
SYC,Seychelles,1992,Summer
SYR,Syria,1992,Summer
TCD,Chad,1992,Summer
TGO,Togo,1992,Summer
THA,Thailand,1992,Summer
TON,Tonga,1992,Summer
TTO,Trinidad and Tobago,1992,Summer
TUN,Tunisia,1992,Summer
TUR,Turkey,1992,Summer
TWN,Taiwan,1992,Summer
TZA,Tanzania,1992,Summer
UGA,Uganda,1992,Summer
URY,Uruguay,1992,Summer
USA,United States,1992,Summer
VCT,Saint Vincent and the Grenadines,1992,Summer
VEN,Venezuela,1992,Summer
VGB,British Virgin Islands,1992,Summer
VIR,US Virgin Islands,1992,Summer
VNM,Vietnam,1992,Summer
VUT,Vanuatu,1992,Summer
WSM,Samoa,1992,Summer
ZAF,South Africa,1992,Summer
ZMB,Zambia,1992,Summer
ZWE,Zimbabwe,1992,Summer
AND,Andorra,1992,Winter
ANT,Netherlands Antilles,1992,Winter
ARG,Argentina,1992,Winter
AUS,Australia,1992,Winter
AUT,Austria,1992,Winter
BEL,Belgium,1992,Winter
BGR,Bulgaria,1992,Winter
BMU,Bermuda,1992,Winter
BOL,Bolivia,1992,Winter
BRA,Brazil,1992,Winter
CAN,Canada,1992,Winter
CHE,Switzerland,1992,Winter
CHL,Chile,1992,Winter
CHN,China,1992,Winter
CRI,Costa Rica,1992,Winter
CYP,Cyprus,1992,Winter
DNK,Denmark,1992,Winter
DZA,Algeria,1992,Winter
ESP,Spain,1992,Winter
FIN,Finland,1992,Winter
FRA,France,1992,Winter
GBR,United Kingdom,1992,Winter
GRC,Greece,1992,Winter
HND,Honduras,1992,Winter
HUN,Hungary,1992,Winter
IND,India,1992,Winter
IRL,Ireland,1992,Winter
ISL,Iceland,1992,Winter
ITA,Italy,1992,Winter
JAM,Jamaica,1992,Winter
JPN,Japan,1992,Winter
KOR,South Korea,1992,Winter
LBN,Lebanon,1992,Winter
LIE,Liechtenstein,1992,Winter
LUX,Luxembourg,1992,Winter
MAR,Morocco,1992,Winter
MCO,Monaco,1992,Winter
MEX,Mexico,1992,Winter
MNG,Mongolia,1992,Winter
NLD,Netherlands,1992,Winter
NOR,Norway,1992,Winter
NZL,New Zealand,1992,Winter
PHL,Philippines,1992,Winter
POL,Poland,1992,Winter
PRI,Puerto Rico,1992,Winter
PRK,North Korea,1992,Winter
ROU,Romania,1992,Winter
SEN,Senegal,1992,Winter
SMR,San Marino,1992,Winter
SWE,Sweden,1992,Winter
SWZ,Eswatini,1992,Winter
TUR,Turkey,1992,Winter
TWN,Taiwan,1992,Winter
USA,United States,1992,Winter
VIR,US Virgin Islands,1992,Winter
AND,Andorra,1994,Winter
ARG,Argentina,1994,Winter
ASM,American Samoa,1994,Winter
AUS,Australia,1994,Winter
AUT,Austria,1994,Winter
BEL,Belgium,1994,Winter
BGR,Bulgaria,1994,Winter
BMU,Bermuda,1994,Winter
BRA,Brazil,1994,Winter
CAN,Canada,1994,Winter
CHE,Switzerland,1994,Winter
CHL,Chile,1994,Winter
CHN,China,1994,Winter
CYP,Cyprus,1994,Winter
DNK,Denmark,1994,Winter
ESP,Spain,1994,Winter
FIN,Finland,1994,Winter
FJI,Fiji,1994,Winter
FRA,France,1994,Winter
GBR,United Kingdom,1994,Winter
GRC,Greece,1994,Winter
HUN,Hungary,1994,Winter
ISL,Iceland,1994,Winter
ISR,Israel,1994,Winter
ITA,Italy,1994,Winter
JAM,Jamaica,1994,Winter
JPN,Japan,1994,Winter
KOR,South Korea,1994,Winter
LIE,Liechtenstein,1994,Winter
LUX,Luxembourg,1994,Winter
MCO,Monaco,1994,Winter
MEX,Mexico,1994,Winter
MNG,Mongolia,1994,Winter
NLD,Netherlands,1994,Winter
NOR,Norway,1994,Winter
NZL,New Zealand,1994,Winter
POL,Poland,1994,Winter
PRI,Puerto Rico,1994,Winter
PRT,Portugal,1994,Winter
ROU,Romania,1994,Winter
SEN,Senegal,1994,Winter
SMR,San Marino,1994,Winter
SWE,Sweden,1994,Winter
TTO,Trinidad and Tobago,1994,Winter
TUR,Turkey,1994,Winter
TWN,Taiwan,1994,Winter
USA,United States,1994,Winter
VIR,US Virgin Islands,1994,Winter
ZAF,South Africa,1994,Winter
ABW,Aruba,1996,Summer
AFG,Afghanistan,1996,Summer
AGO,Angola,1996,Summer
ALB,Albania,1996,Summer
AND,Andorra,1996,Summer
ANT,Netherlands Antilles,1996,Summer
ARE,United Arab Emirates,1996,Summer
ARG,Argentina,1996,Summer
ASM,American Samoa,1996,Summer
ATG,Antigua and Barbuda,1996,Summer
AUS,Australia,1996,Summer
AUT,Austria,1996,Summer
BDI,Burundi,1996,Summer
BEL,Belgium,1996,Summer
BEN,Benin,1996,Summer
BFA,Burkina Faso,1996,Summer
BGD,Bangladesh,1996,Summer
BGR,Bulgaria,1996,Summer
BHR,Bahrain,1996,Summer
BHS,Bahamas,1996,Summer
BLZ,Belize,1996,Summer
BMU,Bermuda,1996,Summer
BOL,Bolivia,1996,Summer
BRA,Brazil,1996,Summer
BRB,Barbados,1996,Summer
BRN,Brunei,1996,Summer
BTN,Bhutan,1996,Summer
BWA,Botswana,1996,Summer
CAF,Central African Republic,1996,Summer
CAN,Canada,1996,Summer
CHE,Switzerland,1996,Summer
CHL,Chile,1996,Summer
CHN,China,1996,Summer
CIV,Ivory Coast,1996,Summer
CMR,Cameroon,1996,Summer
COD,DR Congo,1996,Summer
COG,Congo,1996,Summer
COK,Cook Islands,1996,Summer
COL,Colombia,1996,Summer
COM,Comoros,1996,Summer
CPV,Cape Verde,1996,Summer
CRI,Costa Rica,1996,Summer
CUB,Cuba,1996,Summer
CYM,Cayman Islands,1996,Summer
CYP,Cyprus,1996,Summer
DJI,Djibouti,1996,Summer
DMA,Dominica,1996,Summer
DNK,Denmark,1996,Summer
DOM,Dominican Republic,1996,Summer
DZA,Algeria,1996,Summer
ECU,Ecuador,1996,Summer
EGY,Egypt,1996,Summer
ESP,Spain,1996,Summer
FIN,Finland,1996,Summer
FJI,Fiji,1996,Summer
FRA,France,1996,Summer
GAB,Gabon,1996,Summer
GBR,United Kingdom,1996,Summer
GHA,Ghana,1996,Summer
GIN,Guinea,1996,Summer
GMB,Gambia,1996,Summer
GNB,Guinea-Bissau,1996,Summer
GNQ,Equatorial Guinea,1996,Summer
GRC,Greece,1996,Summer
GRD,Grenada,1996,Summer
GTM,Guatemala,1996,Summer
GUM,Guam,1996,Summer
GUY,Guyana,1996,Summer
HKG,Hong Kong,1996,Summer
HND,Honduras,1996,Summer
HTI,Haiti,1996,Summer
HUN,Hungary,1996,Summer
IDN,Indonesia,1996,Summer
IND,India,1996,Summer
IRL,Ireland,1996,Summer
IRN,Iran,1996,Summer
IRQ,Iraq,1996,Summer
ISL,Iceland,1996,Summer
ISR,Israel,1996,Summer
ITA,Italy,1996,Summer
JAM,Jamaica,1996,Summer
JOR,Jordan,1996,Summer
JPN,Japan,1996,Summer
KEN,Kenya,1996,Summer
KHM,Cambodia,1996,Summer
KNA,Saint Kitts and Nevis,1996,Summer
KOR,South Korea,1996,Summer
KWT,Kuwait,1996,Summer
LAO,Laos,1996,Summer
LBN,Lebanon,1996,Summer
LBR,Liberia,1996,Summer
LBY,Libya,1996,Summer
LCA,Saint Lucia,1996,Summer
LIE,Liechtenstein,1996,Summer
LKA,Sri Lanka,1996,Summer
LSO,Lesotho,1996,Summer
LUX,Luxembourg,1996,Summer
MAR,Morocco,1996,Summer
MCO,Monaco,1996,Summer
MDG,Madagascar,1996,Summer
MDV,Maldives,1996,Summer
MEX,Mexico,1996,Summer
MLI,Mali,1996,Summer
MLT,Malta,1996,Summer
MMR,Myanmar,1996,Summer
MNG,Mongolia,1996,Summer
MOZ,Mozambique,1996,Summer
MRT,Mauritania,1996,Summer
MUS,Mauritius,1996,Summer
MWI,Malawi,1996,Summer
MYS,Malaysia,1996,Summer
NAM,Namibia,1996,Summer
NER,Niger,1996,Summer
NGA,Nigeria,1996,Summer
NIC,Nicaragua,1996,Summer
NLD,Netherlands,1996,Summer
NOR,Norway,1996,Summer
NPL,Nepal,1996,Summer
NRU,Nauru,1996,Summer
NZL,New Zealand,1996,Summer
OMN,Oman,1996,Summer
PAK,Pakistan,1996,Summer
PAN,Panama,1996,Summer
PER,Peru,1996,Summer
PHL,Philippines,1996,Summer
PNG,Papua New Guinea,1996,Summer
POL,Poland,1996,Summer
PRI,Puerto Rico,1996,Summer
PRK,North Korea,1996,Summer
PRT,Portugal,1996,Summer
PRY,Paraguay,1996,Summer
PSE,Palestine,1996,Summer
QAT,Qatar,1996,Summer
ROU,Romania,1996,Summer
RWA,Rwanda,1996,Summer
SAU,Saudi Arabia,1996,Summer
SEN,Senegal,1996,Summer
SGP,Singapore,1996,Summer
SLB,Solomon Islands,1996,Summer
SLE,Sierra Leone,1996,Summer
SLV,El Salvador,1996,Summer
SMR,San Marino,1996,Summer
SOM,Somalia,1996,Summer
STP,Sao Tome and Principe,1996,Summer
SUR,Suriname,1996,Summer
SWE,Sweden,1996,Summer
SWZ,Eswatini,1996,Summer
SYC,Seychelles,1996,Summer
SYR,Syria,1996,Summer
TCD,Chad,1996,Summer
TGO,Togo,1996,Summer
THA,Thailand,1996,Summer
TON,Tonga,1996,Summer
TTO,Trinidad and Tobago,1996,Summer
TUN,Tunisia,1996,Summer
TUR,Turkey,1996,Summer
TWN,Taiwan,1996,Summer
TZA,Tanzania,1996,Summer
UGA,Uganda,1996,Summer
URY,Uruguay,1996,Summer
USA,United States,1996,Summer
VCT,Saint Vincent and the Grenadines,1996,Summer
VEN,Venezuela,1996,Summer
VGB,British Virgin Islands,1996,Summer
VIR,US Virgin Islands,1996,Summer
VNM,Vietnam,1996,Summer
VUT,Vanuatu,1996,Summer
WSM,Samoa,1996,Summer
ZAF,South Africa,1996,Summer
ZMB,Zambia,1996,Summer
ZWE,Zimbabwe,1996,Summer
AND,Andorra,1998,Winter
ARG,Argentina,1998,Winter
AUS,Australia,1998,Winter
AUT,Austria,1998,Winter
BEL,Belgium,1998,Winter
BGR,Bulgaria,1998,Winter
BMU,Bermuda,1998,Winter
BRA,Brazil,1998,Winter
CAN,Canada,1998,Winter
CHE,Switzerland,1998,Winter
CHL,Chile,1998,Winter
CHN,China,1998,Winter
CYP,Cyprus,1998,Winter
DNK,Denmark,1998,Winter
ESP,Spain,1998,Winter
FIN,Finland,1998,Winter
FRA,France,1998,Winter
GBR,United Kingdom,1998,Winter
GRC,Greece,1998,Winter
HUN,Hungary,1998,Winter
IND,India,1998,Winter
IRL,Ireland,1998,Winter
IRN,Iran,1998,Winter
ISL,Iceland,1998,Winter
ISR,Israel,1998,Winter
ITA,Italy,1998,Winter
JAM,Jamaica,1998,Winter
JPN,Japan,1998,Winter
KEN,Kenya,1998,Winter
KOR,South Korea,1998,Winter
LIE,Liechtenstein,1998,Winter
LUX,Luxembourg,1998,Winter
MCO,Monaco,1998,Winter
MNG,Mongolia,1998,Winter
NLD,Netherlands,1998,Winter
NOR,Norway,1998,Winter
NZL,New Zealand,1998,Winter
POL,Poland,1998,Winter
PRI,Puerto Rico,1998,Winter
PRK,North Korea,1998,Winter
PRT,Portugal,1998,Winter
ROU,Romania,1998,Winter
SWE,Sweden,1998,Winter
TTO,Trinidad and Tobago,1998,Winter
TUR,Turkey,1998,Winter
TWN,Taiwan,1998,Winter
URY,Uruguay,1998,Winter
USA,United States,1998,Winter
VEN,Venezuela,1998,Winter
VIR,US Virgin Islands,1998,Winter
ZAF,South Africa,1998,Winter
ABW,Aruba,2000,Summer
AGO,Angola,2000,Summer
ALB,Albania,2000,Summer
AND,Andorra,2000,Summer
ANT,Netherlands Antilles,2000,Summer
ARE,United Arab Emirates,2000,Summer
ARG,Argentina,2000,Summer
ASM,American Samoa,2000,Summer
ATG,Antigua and Barbuda,2000,Summer
AUS,Australia,2000,Summer
AUT,Austria,2000,Summer
BDI,Burundi,2000,Summer
BEL,Belgium,2000,Summer
BEN,Benin,2000,Summer
BFA,Burkina Faso,2000,Summer
BGD,Bangladesh,2000,Summer
BGR,Bulgaria,2000,Summer
BHR,Bahrain,2000,Summer
BHS,Bahamas,2000,Summer
BLZ,Belize,2000,Summer
BMU,Bermuda,2000,Summer
BOL,Bolivia,2000,Summer
BRA,Brazil,2000,Summer
BRB,Barbados,2000,Summer
BRN,Brunei,2000,Summer
BTN,Bhutan,2000,Summer
BWA,Botswana,2000,Summer
CAF,Central African Republic,2000,Summer
CAN,Canada,2000,Summer
CHE,Switzerland,2000,Summer
CHL,Chile,2000,Summer
CHN,China,2000,Summer
CIV,Ivory Coast,2000,Summer
CMR,Cameroon,2000,Summer
COD,DR Congo,2000,Summer
COG,Congo,2000,Summer
COK,Cook Islands,2000,Summer
COL,Colombia,2000,Summer
COM,Comoros,2000,Summer
CPV,Cape Verde,2000,Summer
CRI,Costa Rica,2000,Summer
CUB,Cuba,2000,Summer
CYM,Cayman Islands,2000,Summer
CYP,Cyprus,2000,Summer
DJI,Djibouti,2000,Summer
DMA,Dominica,2000,Summer
DNK,Denmark,2000,Summer
DOM,Dominican Republic,2000,Summer
DZA,Algeria,2000,Summer
ECU,Ecuador,2000,Summer
EGY,Egypt,2000,Summer
ESP,Spain,2000,Summer
FIN,Finland,2000,Summer
FJI,Fiji,2000,Summer
FRA,France,2000,Summer
FSM,Micronesia,2000,Summer
GAB,Gabon,2000,Summer
GBR,United Kingdom,2000,Summer
GHA,Ghana,2000,Summer
GIN,Guinea,2000,Summer
GMB,Gambia,2000,Summer
GNB,Guinea-Bissau,2000,Summer
GNQ,Equatorial Guinea,2000,Summer
GRC,Greece,2000,Summer
GRD,Grenada,2000,Summer
GTM,Guatemala,2000,Summer
GUM,Guam,2000,Summer
GUY,Guyana,2000,Summer
HKG,Hong Kong,2000,Summer
HND,Honduras,2000,Summer
HTI,Haiti,2000,Summer
HUN,Hungary,2000,Summer
IDN,Indonesia,2000,Summer
IND,India,2000,Summer
IRL,Ireland,2000,Summer
IRN,Iran,2000,Summer
IRQ,Iraq,2000,Summer
ISL,Iceland,2000,Summer
ISR,Israel,2000,Summer
ITA,Italy,2000,Summer
JAM,Jamaica,2000,Summer
JOR,Jordan,2000,Summer
JPN,Japan,2000,Summer
KEN,Kenya,2000,Summer
KHM,Cambodia,2000,Summer
KNA,Saint Kitts and Nevis,2000,Summer
KOR,South Korea,2000,Summer
KWT,Kuwait,2000,Summer
LAO,Laos,2000,Summer
LBN,Lebanon,2000,Summer
LBR,Liberia,2000,Summer
LBY,Libya,2000,Summer
LCA,Saint Lucia,2000,Summer
LIE,Liechtenstein,2000,Summer
LKA,Sri Lanka,2000,Summer
LSO,Lesotho,2000,Summer
LUX,Luxembourg,2000,Summer
MAR,Morocco,2000,Summer
MCO,Monaco,2000,Summer
MDG,Madagascar,2000,Summer
MDV,Maldives,2000,Summer
MEX,Mexico,2000,Summer
MLI,Mali,2000,Summer
MLT,Malta,2000,Summer
MMR,Myanmar,2000,Summer
MNG,Mongolia,2000,Summer
MOZ,Mozambique,2000,Summer
MRT,Mauritania,2000,Summer
MUS,Mauritius,2000,Summer
MWI,Malawi,2000,Summer
MYS,Malaysia,2000,Summer
NAM,Namibia,2000,Summer
NER,Niger,2000,Summer
NGA,Nigeria,2000,Summer
NIC,Nicaragua,2000,Summer
NLD,Netherlands,2000,Summer
NOR,Norway,2000,Summer
NPL,Nepal,2000,Summer
NRU,Nauru,2000,Summer
NZL,New Zealand,2000,Summer
OMN,Oman,2000,Summer
PAK,Pakistan,2000,Summer
PAN,Panama,2000,Summer
PER,Peru,2000,Summer
PHL,Philippines,2000,Summer
PLW,Palau,2000,Summer
PNG,Papua New Guinea,2000,Summer
POL,Poland,2000,Summer
PRI,Puerto Rico,2000,Summer
PRK,North Korea,2000,Summer
PRT,Portugal,2000,Summer
PRY,Paraguay,2000,Summer
PSE,Palestine,2000,Summer
QAT,Qatar,2000,Summer
ROU,Romania,2000,Summer
RWA,Rwanda,2000,Summer
SAU,Saudi Arabia,2000,Summer
SEN,Senegal,2000,Summer
SGP,Singapore,2000,Summer
SLB,Solomon Islands,2000,Summer
SLE,Sierra Leone,2000,Summer
SLV,El Salvador,2000,Summer
SMR,San Marino,2000,Summer
SOM,Somalia,2000,Summer
STP,Sao Tome and Principe,2000,Summer
SUR,Suriname,2000,Summer
SWE,Sweden,2000,Summer
SWZ,Eswatini,2000,Summer
SYC,Seychelles,2000,Summer
SYR,Syria,2000,Summer
TCD,Chad,2000,Summer
TGO,Togo,2000,Summer
THA,Thailand,2000,Summer
TON,Tonga,2000,Summer
TTO,Trinidad and Tobago,2000,Summer
TUN,Tunisia,2000,Summer
TUR,Turkey,2000,Summer
TWN,Taiwan,2000,Summer
TZA,Tanzania,2000,Summer
UGA,Uganda,2000,Summer
URY,Uruguay,2000,Summer
USA,United States,2000,Summer
VCT,Saint Vincent and the Grenadines,2000,Summer
VEN,Venezuela,2000,Summer
VGB,British Virgin Islands,2000,Summer
VIR,US Virgin Islands,2000,Summer
VNM,Vietnam,2000,Summer
VUT,Vanuatu,2000,Summer
WSM,Samoa,2000,Summer
ZAF,South Africa,2000,Summer
ZMB,Zambia,2000,Summer
ZWE,Zimbabwe,2000,Summer
AND,Andorra,2002,Winter
ARG,Argentina,2002,Winter
AUS,Australia,2002,Winter
AUT,Austria,2002,Winter
BEL,Belgium,2002,Winter
BGR,Bulgaria,2002,Winter
BMU,Bermuda,2002,Winter
BRA,Brazil,2002,Winter
CAN,Canada,2002,Winter
CHE,Switzerland,2002,Winter
CHL,Chile,2002,Winter
CHN,China,2002,Winter
CMR,Cameroon,2002,Winter
CRI,Costa Rica,2002,Winter
CYP,Cyprus,2002,Winter
DNK,Denmark,2002,Winter
ESP,Spain,2002,Winter
FIN,Finland,2002,Winter
FJI,Fiji,2002,Winter
FRA,France,2002,Winter
GBR,United Kingdom,2002,Winter
GRC,Greece,2002,Winter
HKG,Hong Kong,2002,Winter
HUN,Hungary,2002,Winter
IND,India,2002,Winter
IRL,Ireland,2002,Winter
IRN,Iran,2002,Winter
ISL,Iceland,2002,Winter
ISR,Israel,2002,Winter
ITA,Italy,2002,Winter
JAM,Jamaica,2002,Winter
JPN,Japan,2002,Winter
KEN,Kenya,2002,Winter
KOR,South Korea,2002,Winter
LBN,Lebanon,2002,Winter
LIE,Liechtenstein,2002,Winter
MCO,Monaco,2002,Winter
MEX,Mexico,2002,Winter
MNG,Mongolia,2002,Winter
NLD,Netherlands,2002,Winter
NOR,Norway,2002,Winter
NPL,Nepal,2002,Winter
NZL,New Zealand,2002,Winter
POL,Poland,2002,Winter
PRK,North Korea,2002,Winter
ROU,Romania,2002,Winter
SMR,San Marino,2002,Winter
SWE,Sweden,2002,Winter
THA,Thailand,2002,Winter
TTO,Trinidad and Tobago,2002,Winter
TUR,Turkey,2002,Winter
TWN,Taiwan,2002,Winter
USA,United States,2002,Winter
VEN,Venezuela,2002,Winter
VIR,US Virgin Islands,2002,Winter
ZAF,South Africa,2002,Winter
ABW,Aruba,2004,Summer
AFG,Afghanistan,2004,Summer
AGO,Angola,2004,Summer
ALB,Albania,2004,Summer
AND,Andorra,2004,Summer
ANT,Netherlands Antilles,2004,Summer
ARE,United Arab Emirates,2004,Summer
ARG,Argentina,2004,Summer
ASM,American Samoa,2004,Summer
ATG,Antigua and Barbuda,2004,Summer
AUS,Australia,2004,Summer
AUT,Austria,2004,Summer
BDI,Burundi,2004,Summer
BEL,Belgium,2004,Summer
BEN,Benin,2004,Summer
BFA,Burkina Faso,2004,Summer
BGD,Bangladesh,2004,Summer
BGR,Bulgaria,2004,Summer
BHR,Bahrain,2004,Summer
BHS,Bahamas,2004,Summer
BLZ,Belize,2004,Summer
BMU,Bermuda,2004,Summer
BOL,Bolivia,2004,Summer
BRA,Brazil,2004,Summer
BRB,Barbados,2004,Summer
BRN,Brunei,2004,Summer
BTN,Bhutan,2004,Summer
BWA,Botswana,2004,Summer
CAF,Central African Republic,2004,Summer
CAN,Canada,2004,Summer
CHE,Switzerland,2004,Summer
CHL,Chile,2004,Summer
CHN,China,2004,Summer
CIV,Ivory Coast,2004,Summer
CMR,Cameroon,2004,Summer
COD,DR Congo,2004,Summer
COG,Congo,2004,Summer
COK,Cook Islands,2004,Summer
COL,Colombia,2004,Summer
COM,Comoros,2004,Summer
CPV,Cape Verde,2004,Summer
CRI,Costa Rica,2004,Summer
CUB,Cuba,2004,Summer
CYM,Cayman Islands,2004,Summer
CYP,Cyprus,2004,Summer
DMA,Dominica,2004,Summer
DNK,Denmark,2004,Summer
DOM,Dominican Republic,2004,Summer
DZA,Algeria,2004,Summer
ECU,Ecuador,2004,Summer
EGY,Egypt,2004,Summer
ESP,Spain,2004,Summer
FIN,Finland,2004,Summer
FJI,Fiji,2004,Summer
FRA,France,2004,Summer
FSM,Micronesia,2004,Summer
GAB,Gabon,2004,Summer
GBR,United Kingdom,2004,Summer
GHA,Ghana,2004,Summer
GIN,Guinea,2004,Summer
GMB,Gambia,2004,Summer
GNB,Guinea-Bissau,2004,Summer
GNQ,Equatorial Guinea,2004,Summer
GRC,Greece,2004,Summer
GRD,Grenada,2004,Summer
GTM,Guatemala,2004,Summer
GUM,Guam,2004,Summer
GUY,Guyana,2004,Summer
HKG,Hong Kong,2004,Summer
HND,Honduras,2004,Summer
HTI,Haiti,2004,Summer
HUN,Hungary,2004,Summer
IDN,Indonesia,2004,Summer
IND,India,2004,Summer
IRL,Ireland,2004,Summer
IRN,Iran,2004,Summer
IRQ,Iraq,2004,Summer
ISL,Iceland,2004,Summer
ISR,Israel,2004,Summer
ITA,Italy,2004,Summer
JAM,Jamaica,2004,Summer
JOR,Jordan,2004,Summer
JPN,Japan,2004,Summer
KEN,Kenya,2004,Summer
KHM,Cambodia,2004,Summer
KIR,Kiribati,2004,Summer
KNA,Saint Kitts and Nevis,2004,Summer
KOR,South Korea,2004,Summer
KWT,Kuwait,2004,Summer
LAO,Laos,2004,Summer
LBN,Lebanon,2004,Summer
LBR,Liberia,2004,Summer
LBY,Libya,2004,Summer
LCA,Saint Lucia,2004,Summer
LIE,Liechtenstein,2004,Summer
LKA,Sri Lanka,2004,Summer
LSO,Lesotho,2004,Summer
LUX,Luxembourg,2004,Summer
MAR,Morocco,2004,Summer
MCO,Monaco,2004,Summer
MDG,Madagascar,2004,Summer
MDV,Maldives,2004,Summer
MEX,Mexico,2004,Summer
MLI,Mali,2004,Summer
MLT,Malta,2004,Summer
MMR,Myanmar,2004,Summer
MNG,Mongolia,2004,Summer
MOZ,Mozambique,2004,Summer
MRT,Mauritania,2004,Summer
MUS,Mauritius,2004,Summer
MWI,Malawi,2004,Summer
MYS,Malaysia,2004,Summer
NAM,Namibia,2004,Summer
NER,Niger,2004,Summer
NGA,Nigeria,2004,Summer
NIC,Nicaragua,2004,Summer
NLD,Netherlands,2004,Summer
NOR,Norway,2004,Summer
NPL,Nepal,2004,Summer
NRU,Nauru,2004,Summer
NZL,New Zealand,2004,Summer
OMN,Oman,2004,Summer
PAK,Pakistan,2004,Summer
PAN,Panama,2004,Summer
PER,Peru,2004,Summer
PHL,Philippines,2004,Summer
PLW,Palau,2004,Summer
PNG,Papua New Guinea,2004,Summer
POL,Poland,2004,Summer
PRI,Puerto Rico,2004,Summer
PRK,North Korea,2004,Summer
PRT,Portugal,2004,Summer
PRY,Paraguay,2004,Summer
PSE,Palestine,2004,Summer
QAT,Qatar,2004,Summer
ROU,Romania,2004,Summer
RWA,Rwanda,2004,Summer
SAU,Saudi Arabia,2004,Summer
SEN,Senegal,2004,Summer
SGP,Singapore,2004,Summer
SLB,Solomon Islands,2004,Summer
SLE,Sierra Leone,2004,Summer
SLV,El Salvador,2004,Summer
SMR,San Marino,2004,Summer
